Typ;Kategorie;Text;Anzahl Antworten
S;Basis;Und der Oscar für \underl geht an \underl.;2
S;Basis;Wer bildet das nächste Superhelden/ Gehilfen-Duo?;2
S;Drogen;Als ich einen Acid-Trip hatte, wurde \underl zu \underl.;2
S;Eklig;Für meinen nächsten Trick werde ich \underl aus \underl rausziehen.;2
S;FSK 16;Sie sagten, wir wären verrückt. Sie sagten, wir könnten nicht \underl in \underl stecken. Sie lagen falsch.;2
S;Kultur;Das neue Superhelden-Duo: \underl und \underl.;2
S;Kultur;Dreamworks präsentiert: "\underl, die Geschichte von \underl.";2
S;Kultur;In M. Night Shyamalans neuen Film findet Bruce Willis heraus, dass \underl in Wirklichkeit die ganze Zeit \underl war.;2
S;Basis;\underl + \underl = \underl.;3
S;Basis;Auf einer Skala von \underl bis \underl , wie würdest du deinen Schmerz beschreiben?;2
S;Basis;Schreibe einen Haiku:\newline \underl\newline \underl\newline \underl;3
W;Religion;Deine Unschuld in einer Kirche verlieren.;
W;Religion;In eine Kirche rennen und "ALAHU AKBAR" schreien.;
S;Basis;Ich hab mir 6 Rippen gebrochen während ich \underl .;1
W;Böse;Hundewelpen ertränken.;
W;Religion;Einen Pakt mit dem Teufel eingehen.;
S;Kultur;In dieser Folge von „Mann gegen Wildnis“ muss Bear Grylls in den tiefen des Regenwald überleben, nur mit Hilfe von \underl !;1
